,GEO_ID,NAME,Total_20,Asian_20,Pct_20,COUNTY,STATE,PctState_20,County,Asian_10,Total_10,Pct_10,PCT_DIFF
27,0500000US01055,"Etowah County, Alabama",103436.0,927.0,0.8962063498201787,Etowah County,Alabama,1.52579106375263,"Etowah County, Alabama",672.0,104430.0,0.6434932490663603,0.25271310075381836
28,0500000US01057,"Fayette County, Alabama",16321.0,51.0,0.31248085288891614,Fayette County,Alabama,1.52579106375263,"Fayette County, Alabama",37.0,17241.0,0.21460472130386868,0.09787613158504746
29,0500000US01059,"Franklin County, Alabama",32113.0,68.0,0.21175224986765487,Franklin County,Alabama,1.52579106375263,"Franklin County, Alabama",63.0,31704.0,0.19871309613928842,0.013039153728366448
30,0500000US01061,"Geneva County, Alabama",26659.0,89.0,0.3338459807194568,Geneva County,Alabama,1.52579106375263,"Geneva County, Alabama",67.0,26790.0,0.2500933184023889,0.0837526623170679
31,0500000US01063,"Greene County, Alabama",7730.0,7.0,0.09055627425614489,Greene County,Alabama,1.52579106375263,"Greene County, Alabama",15.0,9045.0,0.16583747927031509,-0.0752812050141702
32,0500000US01065,"Hale County, Alabama",14785.0,25.0,0.16909029421711194,Hale County,Alabama,1.52579106375263,"Hale County, Alabama",35.0,15760.0,0.2220812182741117,-0.05299092405699976
33,0500000US01067,"Henry County, Alabama",17146.0,73.0,0.4257552781989969,Henry County,Alabama,1.52579106375263,"Henry County, Alabama",54.0,17302.0,0.31210264709282165,0.11365263110617524
34,0500000US01069,"Houston County, Alabama",107202.0,1282.0,1.1958732113206842,Houston County,Alabama,1.52579106375263,"Houston County, Alabama",820.0,101547.0,0.8075078535062582,0.38836535781442605
35,0500000US01071,"Jackson County, Alabama",52579.0,214.0,0.40700659959299346,Jackson County,Alabama,1.52579106375263,"Jackson County, Alabama",185.0,53227.0,0.34756796362748227,0.05943863596551119
36,0500000US01073,"Jefferson County, Alabama",674721.0,13109.0,1.9428771299544554,Jefferson County,Alabama,1.52579106375263,"Jefferson County, Alabama",9158.0,658466.0,1.390808333308022,0.5520687966464335
37,0500000US01075,"Lamar County, Alabama",13972.0,6.0,0.04294302891497281,Lamar County,Alabama,1.52579106375263,"Lamar County, Alabama",4.0,14564.0,0.027464982147761604,0.015478046767211203
38,0500000US01077,"Lauderdale County, Alabama",93564.0,770.0,0.822966098071908,Lauderdale County,Alabama,1.52579106375263,"Lauderdale County, Alabama",685.0,92709.0,0.7388710912640628,0.08409500680784521
39,0500000US01079,"Lawrence County, Alabama",33073.0,87.0,0.2630544552958607,Lawrence County,Alabama,1.52579106375263,"Lawrence County, Alabama",42.0,34339.0,0.1223099100148519,0.14074454528100877
40,0500000US01081,"Lee County, Alabama",174241.0,8572.0,4.9196228212648,Lee County,Alabama,1.52579106375263,"Lee County, Alabama",3658.0,140247.0,2.608255435053869,2.3113673862109305
41,0500000US01083,"Limestone County, Alabama",103570.0,1869.0,1.80457661484986,Limestone County,Alabama,1.52579106375263,"Limestone County, Alabama",924.0,82782.0,1.1161846778285134,0.6883919370213467
42,0500000US01085,"Lowndes County, Alabama",10311.0,15.0,0.14547570555717193,Lowndes County,Alabama,1.52579106375263,"Lowndes County, Alabama",14.0,11299.0,0.12390477033365785,0.02157093522351408
43,0500000US01087,"Macon County, Alabama",19532.0,74.0,0.3788654515666598,Macon County,Alabama,1.52579106375263,"Macon County, Alabama",76.0,21452.0,0.35427932127540557,0.024586130291254227
44,0500000US01089,"Madison County, Alabama",388153.0,10292.0,2.6515317413494164,Madison County,Alabama,1.52579106375263,"Madison County, Alabama",8265.0,334811.0,2.4685568873185173,0.18297485403089908
45,0500000US01091,"Marengo County, Alabama",19323.0,54.0,0.2794597112249651,Marengo County,Alabama,1.52579106375263,"Marengo County, Alabama",53.0,21027.0,0.2520568792504875,0.027402831974477626
46,0500000US01093,"Marion County, Alabama",29341.0,75.0,0.25561500971337037,Marion County,Alabama,1.52579106375263,"Marion County, Alabama",54.0,30776.0,0.1754613984923317,0.08015361122103867
47,0500000US01095,"Marshall County, Alabama",97612.0,602.0,0.6167274515428431,Marshall County,Alabama,1.52579106375263,"Marshall County, Alabama",478.0,93019.0,0.5138735097130693,0.10285394182977381
48,0500000US01097,"Mobile County, Alabama",414809.0,8585.0,2.0696272260245077,Mobile County,Alabama,1.52579106375263,"Mobile County, Alabama",7561.0,412992.0,1.8307860684952735,0.23884115752923418
49,0500000US01099,"Monroe County, Alabama",19772.0,88.0,0.44507384179647985,Monroe County,Alabama,1.52579106375263,"Monroe County, Alabama",67.0,23068.0,0.29044563898040576,0.1546282028160741
50,0500000US01101,"Montgomery County, Alabama",228954.0,7995.0,3.491967818863178,Montgomery County,Alabama,1.52579106375263,"Montgomery County, Alabama",4821.0,229363.0,2.1019083287191047,1.3900594901440733
51,0500000US01103,"Morgan County, Alabama",123421.0,850.0,0.6886996540297032,Morgan County,Alabama,1.52579106375263,"Morgan County, Alabama",691.0,119490.0,0.5782910703824587,0.11040858364724448
52,0500000US01105,"Perry County, Alabama",8511.0,10.0,0.11749500646222537,Perry County,Alabama,1.52579106375263,"Perry County, Alabama",30.0,10591.0,0.283259371164196,-0.16576436470197065
53,0500000US01107,"Pickens County, Alabama",19123.0,78.0,0.4078857919782461,Pickens County,Alabama,1.52579106375263,"Pickens County, Alabama",36.0,19746.0,0.18231540565177756,0.22557038632646853
54,0500000US01109,"Pike County, Alabama",33009.0,588.0,1.7813323639007543,Pike County,Alabama,1.52579106375263,"Pike County, Alabama",654.0,32899.0,1.9879023678531262,-0.2065700039523719
55,0500000US01111,"Randolph County, Alabama",21967.0,87.0,0.3960486183821187,Randolph County,Alabama,1.52579106375263,"Randolph County, Alabama",55.0,22913.0,0.2400384061449832,0.1560102122371355
56,0500000US01113,"Russell County, Alabama",59183.0,420.0,0.7096632478921312,Russell County,Alabama,1.52579106375263,"Russell County, Alabama",236.0,52947.0,0.44572874761554004,0.26393450027659116
57,0500000US01115,"St. Clair County, Alabama",91103.0,663.0,0.7277477141257698,St. Clair County,Alabama,1.52579106375263,"St. Clair County, Alabama",518.0,83593.0,0.6196691110499684,0.10807860307580142
58,0500000US01117,"Shelby County, Alabama",223024.0,5152.0,2.310065284453691,Shelby County,Alabama,1.52579106375263,"Shelby County, Alabama",3726.0,195085.0,1.9099366942614757,0.40012859019221536
59,0500000US01119,"Sumter County, Alabama",12345.0,102.0,0.8262454434993926,Sumter County,Alabama,1.52579106375263,"Sumter County, Alabama",33.0,13763.0,0.23977330523868345,0.5864721382607091
60,0500000US01121,"Talladega County, Alabama",82149.0,395.0,0.4808336072258944,Talladega County,Alabama,1.52579106375263,"Talladega County, Alabama",339.0,82291.0,0.41195270442697257,0.06888090279892184
