,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE,PCT_DIFF
326,0500000US12011,"Broward County, Florida",1944375.0,75922.0,3.9046994535519124,Broward County,Florida,2.988561664916365,0.9161377886355475
330,0500000US12019,"Clay County, Florida",218245.0,6804.0,3.117597195812046,Clay County,Florida,2.988561664916365,0.1290355308956812
335,0500000US12031,"Duval County, Florida",995567.0,49467.0,4.968726363971485,Duval County,Florida,2.988561664916365,1.9801646990551203
336,0500000US12033,"Escambia County, Florida",321905.0,10039.0,3.1186219536819872,Escambia County,Florida,2.988561664916365,0.13006028876562237
348,0500000US12057,"Hillsborough County, Florida",1459762.0,71080.0,4.869286911154011,Hillsborough County,Florida,2.988561664916365,1.8807252462376458
356,0500000US12073,"Leon County, Florida",292198.0,10590.0,3.6242547861381667,Leon County,Florida,2.988561664916365,0.6356931212218018
366,0500000US12091,"Okaloosa County, Florida",211668.0,6802.0,3.2135230644216417,Okaloosa County,Florida,2.988561664916365,0.22496139950527683
368,0500000US12095,"Orange County, Florida",1429908.0,78348.0,5.479233629016692,Orange County,Florida,2.988561664916365,2.490671964100327
369,0500000US12097,"Osceola County, Florida",388656.0,11803.0,3.036875797620518,Osceola County,Florida,2.988561664916365,0.04831413270415297
372,0500000US12103,"Pinellas County, Florida",959107.0,34167.0,3.56237625207615,Pinellas County,Florida,2.988561664916365,0.5738145871597853
375,0500000US12109,"St. Johns County, Florida",273425.0,9882.0,3.614153789887538,St. Johns County,Florida,2.988561664916365,0.6255921249711731
379,0500000US12117,"Seminole County, Florida",470856.0,25615.0,5.440092087602155,Seminole County,Florida,2.988561664916365,2.45153042268579
418,0500000US13063,"Clayton County, Georgia",297595.0,13640.0,4.583410339555436,Clayton County,Georgia,4.471920408577072,0.11148993097836435
420,0500000US13067,"Cobb County, Georgia",766149.0,42810.0,5.587685946206286,Cobb County,Georgia,4.471920408577072,1.1157655376292146
423,0500000US13073,"Columbia County, Georgia",156010.0,7211.0,4.622139606435485,Columbia County,Georgia,4.471920408577072,0.1502191978584131
431,0500000US13089,"DeKalb County, Georgia",764382.0,50384.0,6.5914686635739725,DeKalb County,Georgia,4.471920408577072,2.119548254996901
443,0500000US13113,"Fayette County, Georgia",119194.0,6419.0,5.385338188163834,Fayette County,Georgia,4.471920408577072,0.9134177795867622
445,0500000US13117,"Forsyth County, Georgia",251283.0,45203.0,17.988881062387826,Forsyth County,Georgia,4.471920408577072,13.516960653810754
447,0500000US13121,"Fulton County, Georgia",1066710.0,80949.0,7.588660460668785,Fulton County,Georgia,4.471920408577072,3.1167400520917132
454,0500000US13135,"Gwinnett County, Georgia",957062.0,127152.0,13.285659654233479,Gwinnett County,Georgia,4.471920408577072,8.813739245656407
495,0500000US13219,"Oconee County, Georgia",41799.0,2082.0,4.980980406229814,Oconee County,Georgia,4.471920408577072,0.5090599976527423
548,0500000US15003,"Honolulu County, Hawaii",1016508.0,436853.0,42.97585459238885,Honolulu County,Hawaii,37.23718812509835,5.7386664672905
552,0500000US16001,"Ada County, Idaho",494967.0,13929.0,2.814127002406221,Ada County,Idaho,1.4591872355372664,1.3549397668689547
571,0500000US16039,"Elmore County, Idaho",28666.0,800.0,2.7907625758738575,Elmore County,Idaho,1.4591872355372664,1.331575340336591
580,0500000US16057,"Latah County, Idaho",39517.0,981.0,2.4824758964496296,Latah County,Idaho,1.4591872355372664,1.0232886609123633
584,0500000US16065,"Madison County, Idaho",52913.0,959.0,1.812409048815981,Madison County,Idaho,1.4591872355372664,0.3532218132787146
593,0500000US16083,"Twin Falls County, Idaho",90046.0,1431.0,1.5891877484841084,Twin Falls County,Idaho,1.4591872355372664,0.130000512946842
605,0500000US17019,"Champaign County, Illinois",205865.0,24487.0,11.894688266582468,Champaign County,Illinois,5.891727052970426,6.002961213612043
611,0500000US17031,"Cook County, Illinois",5275541.0,413271.0,7.833717906845952,Cook County,Illinois,5.891727052970426,1.9419908538755264
617,0500000US17043,"DuPage County, Illinois",932877.0,119672.0,12.82827210875603,DuPage County,Illinois,5.891727052970426,6.936545055785604
644,0500000US17097,"Lake County, Illinois",714342.0,59390.0,8.313944861144943,Lake County,Illinois,5.891727052970426,2.4222178081745174
694,0500000US17197,"Will County, Illinois",696355.0,42849.0,6.153326966848806,Will County,Illinois,5.891727052970426,0.26159991387838044
699,0500000US18003,"Allen County, Indiana",385410.0,18304.0,4.7492280947562335,Allen County,Indiana,2.4752532153724807,2.273974879383753
700,0500000US18005,"Bartholomew County, Indiana",82208.0,5390.0,6.556539509536785,Bartholomew County,Indiana,2.4752532153724807,4.081286294164304
703,0500000US18011,"Boone County, Indiana",70812.0,2401.0,3.3906682483194936,Boone County,Indiana,2.4752532153724807,0.915415032947013
726,0500000US18057,"Hamilton County, Indiana",347467.0,23595.0,6.790572917715927,Hamilton County,Indiana,2.4752532153724807,4.315319702343446
729,0500000US18063,"Hendricks County, Indiana",174788.0,5693.0,3.257088587317207,Hendricks County,Indiana,2.4752532153724807,0.7818353719447262
738,0500000US18081,"Johnson County, Indiana",161765.0,7448.0,4.6042098105276175,Johnson County,Indiana,2.4752532153724807,2.128956595155137
746,0500000US18097,"Marion County, Indiana",977203.0,40062.0,4.0996599478306965,Marion County,Indiana,2.4752532153724807,1.6244067324582159
750,0500000US18105,"Monroe County, Indiana",139718.0,8376.0,5.994932650052248,Monroe County,Indiana,2.4752532153724807,3.5196794346797673
776,0500000US18157,"Tippecanoe County, Indiana",186251.0,13657.0,7.332578080117691,Tippecanoe County,Indiana,2.4752532153724807,4.857324864745211
784,0500000US18173,"Warrick County, Indiana",63898.0,1644.0,2.5728504804532224,Warrick County,Indiana,2.4752532153724807,0.09759726508074174
796,0500000US19013,"Black Hawk County, Iowa",131144.0,3427.0,2.6131580552674922,Black Hawk County,Iowa,2.370540837125737,0.2426172181417554
800,0500000US19021,"Buena Vista County, Iowa",20823.0,1907.0,9.15814243864957,Buena Vista County,Iowa,2.370540837125737,6.787601601523833
814,0500000US19049,"Dallas County, Iowa",99678.0,5009.0,5.025181083087542,Dallas County,Iowa,2.370540837125737,2.6546402459618053
840,0500000US19101,"Jefferson County, Iowa",15663.0,500.0,3.1922364808785035,Jefferson County,Iowa,2.370540837125737,0.8216956437527667
841,0500000US19103,"Johnson County, Iowa",152854.0,8599.0,5.625629685844008,Johnson County,Iowa,2.370540837125737,3.2550888487182714
