,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE,PCT_DIFF
1341,0500000US27053,"Hennepin County, Minnesota",1281565.0,97864.0,7.636288444206888,Hennepin County,Minnesota,5.242974057275799,0.4362884442068875
1376,0500000US27123,"Ramsey County, Minnesota",552352.0,86079.0,15.58408406233706,Ramsey County,Minnesota,5.242974057275799,8.38408406233706
1749,0500000US32003,"Clark County, Nevada",2265461.0,237663.0,10.490712486332804,Clark County,Nevada,8.78379727721385,3.2907124863328034
1775,0500000US34001,"Atlantic County, New Jersey",274534.0,21784.0,7.9349005951903955,Atlantic County,New Jersey,10.228125887475006,0.7349005951903953
1776,0500000US34003,"Bergen County, New Jersey",955732.0,158630.0,16.597749159806305,Bergen County,New Jersey,10.228125887475006,9.397749159806306
1783,0500000US34017,"Hudson County, New Jersey",724854.0,124555.0,17.18346039340336,Hudson County,New Jersey,10.228125887475006,9.983460393403362
1785,0500000US34021,"Mercer County, New Jersey",387340.0,48537.0,12.530851448339961,Mercer County,New Jersey,10.228125887475006,5.330851448339961
1786,0500000US34023,"Middlesex County, New Jersey",863162.0,228813.0,26.508697092782118,Middlesex County,New Jersey,10.228125887475006,19.30869709278212
1788,0500000US34027,"Morris County, New Jersey",509285.0,58034.0,11.395191297603503,Morris County,New Jersey,10.228125887475006,4.195191297603503
1792,0500000US34035,"Somerset County, New Jersey",345361.0,67309.0,19.489461751616425,Somerset County,New Jersey,10.228125887475006,12.289461751616425
1829,0500000US36001,"Albany County, New York",314848.0,24473.0,7.772957109462343,Albany County,New York,9.569343954920807,0.5729571094623429
1852,0500000US36047,"Kings County, New York",2736074.0,373680.0,13.657525344709242,Kings County,New York,9.569343954920807,6.457525344709242
1858,0500000US36059,"Nassau County, New York",1395774.0,164201.0,11.764153795671792,Nassau County,New York,9.569343954920807,4.564153795671792
1859,0500000US36061,"New York County, New York",1694251.0,221995.0,13.102840134076946,New York County,New York,9.569343954920807,5.902840134076945
1869,0500000US36081,"Queens County, New York",2405464.0,660631.0,27.463765826468407,Queens County,New York,9.569343954920807,20.263765826468408
1871,0500000US36085,"Richmond County, New York",495747.0,59279.0,11.957510585036319,Richmond County,New York,9.569343954920807,4.757510585036319
1883,0500000US36109,"Tompkins County, New York",105740.0,10532.0,9.960279931908454,Tompkins County,New York,9.569343954920807,2.760279931908454
1958,0500000US37135,"Orange County, North Carolina",148696.0,12674.0,8.523430354548879,Orange County,North Carolina,3.286121753497427,1.3234303545488784
1982,0500000US37183,"Wake County, North Carolina",1129410.0,97042.0,8.592273842094544,Wake County,North Carolina,3.286121753497427,1.3922738420945437
2064,0500000US39041,"Delaware County, Ohio",214124.0,18216.0,8.507220115447124,Delaware County,Ohio,2.52985563392457,1.307220115447124
2234,0500000US41051,"Multnomah County, Oregon",815428.0,62022.0,7.606066997944638,Multnomah County,Oregon,4.5911316191422,0.4060669979446381
2242,0500000US41067,"Washington County, Oregon",600372.0,69106.0,11.51053013798112,Washington County,Oregon,4.5911316191422,4.310530137981119
2258,0500000US42027,"Centre County, Pennsylvania",158172.0,11404.0,7.209872796702324,Centre County,Pennsylvania,3.926115345274443,0.009872796702324216
2290,0500000US42091,"Montgomery County, Pennsylvania",856553.0,68032.0,7.9425324527495675,Montgomery County,Pennsylvania,3.926115345274443,0.7425324527495674
2295,0500000US42101,"Philadelphia County, Pennsylvania",1603797.0,133553.0,8.32730077434987,Philadelphia County,Pennsylvania,3.926115345274443,1.1273007743498704
2364,0500000US46005,"Beadle County, South Dakota",19149.0,2071.0,10.815186171601649,Beadle County,South Dakota,1.5198490526883262,3.615186171601649
2566,0500000US48085,"Collin County, Texas",1064465.0,189209.0,17.775032528077485,Collin County,Texas,5.439878293410939,10.575032528077486
2584,0500000US48121,"Denton County, Texas",906422.0,93463.0,10.311201625732828,Denton County,Texas,5.439878293410939,3.1112016257328277
2602,0500000US48157,"Fort Bend County, Texas",822779.0,182537.0,22.185422817062662,Fort Bend County,Texas,5.439878293410939,14.985422817062663
2624,0500000US48201,"Harris County, Texas",4731145.0,349268.0,7.382314429170951,Harris County,Texas,5.439878293410939,0.1823144291709511
2750,0500000US48453,"Travis County, Texas",1290188.0,101038.0,7.831261800605803,Travis County,Texas,5.439878293410939,0.6312618006058024
2769,0500000US48491,"Williamson County, Texas",609017.0,54628.0,8.969864552221038,Williamson County,Texas,5.439878293410939,1.769864552221038
2822,0500000US51003,"Albemarle County, Virginia",112395.0,8222.0,7.315272031674007,Albemarle County,Virginia,7.130204823253907,0.11527203167400657
