,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE
58,0500000US01117,"Shelby County, Alabama",223024,5152,2.310065284453691,Shelby County,Alabama,1.52579106375263
59,0500000US01119,"Sumter County, Alabama",12345,102,0.8262454434993926,Sumter County,Alabama,1.52579106375263
60,0500000US01121,"Talladega County, Alabama",82149,395,0.4808336072258944,Talladega County,Alabama,1.52579106375263
61,0500000US01123,"Tallapoosa County, Alabama",41311,222,0.5373871365980005,Tallapoosa County,Alabama,1.52579106375263
62,0500000US01125,"Tuscaloosa County, Alabama",227036,3253,1.4328124174139782,Tuscaloosa County,Alabama,1.52579106375263
63,0500000US01127,"Walker County, Alabama",65342,297,0.45453154173425975,Walker County,Alabama,1.52579106375263
64,0500000US01129,"Washington County, Alabama",15388,14,0.09097998440343125,Washington County,Alabama,1.52579106375263
65,0500000US01131,"Wilcox County, Alabama",10600,7,0.0660377358490566,Wilcox County,Alabama,1.52579106375263
66,0500000US01133,"Winston County, Alabama",23540,61,0.25913338997451146,Winston County,Alabama,1.52579106375263
67,0500000US02013,"Aleutians East Borough, Alaska",3420,771,22.54385964912281,Aleutians East Borough,Alaska,6.003891512167452
68,0500000US02016,"Aleutians West Census Area, Alaska",5232,1513,28.91819571865443,Aleutians West Census Area,Alaska,6.003891512167452
69,0500000US02020,"Anchorage Municipality, Alaska",291247,27646,9.492286615827803,Anchorage Municipality,Alaska,6.003891512167452
70,0500000US02050,"Bethel Census Area, Alaska",18666,202,1.0821815064823743,Bethel Census Area,Alaska,6.003891512167452
71,0500000US02060,"Bristol Bay Borough, Alaska",844,5,0.5924170616113744,Bristol Bay Borough,Alaska,6.003891512167452
72,0500000US02063,"Chugach Census Area, Alaska",7102,529,7.448606026471416,Chugach Census Area,Alaska,6.003891512167452
73,0500000US02066,"Copper River Census Area, Alaska",2617,17,0.6495987772258311,Copper River Census Area,Alaska,6.003891512167452
74,0500000US02068,"Denali Borough, Alaska",1619,13,0.8029647930821495,Denali Borough,Alaska,6.003891512167452
75,0500000US02070,"Dillingham Census Area, Alaska",4857,48,0.9882643607164917,Dillingham Census Area,Alaska,6.003891512167452
76,0500000US02090,"Fairbanks North Star Borough, Alaska",95655,3104,3.244995034237625,Fairbanks North Star Borough,Alaska,6.003891512167452
77,0500000US02100,"Haines Borough, Alaska",2080,14,0.6730769230769231,Haines Borough,Alaska,6.003891512167452
78,0500000US02105,"Hoonah-Angoon Census Area, Alaska",2365,16,0.6765327695560254,Hoonah-Angoon Census Area,Alaska,6.003891512167452
79,0500000US02110,"Juneau City and Borough, Alaska",32255,2101,6.513718803286313,Juneau City and Borough,Alaska,6.003891512167452
80,0500000US02122,"Kenai Peninsula Borough, Alaska",58799,809,1.3758737393493088,Kenai Peninsula Borough,Alaska,6.003891512167452
81,0500000US02130,"Ketchikan Gateway Borough, Alaska",13948,1129,8.094350444508173,Ketchikan Gateway Borough,Alaska,6.003891512167452
82,0500000US02150,"Kodiak Island Borough, Alaska",13101,2803,21.395313334859935,Kodiak Island Borough,Alaska,6.003891512167452
83,0500000US02158,"Kusilvak Census Area, Alaska",8368,23,0.2748565965583174,Kusilvak Census Area,Alaska,6.003891512167452
84,0500000US02164,"Lake and Peninsula Borough, Alaska",1476,9,0.6097560975609756,Lake and Peninsula Borough,Alaska,6.003891512167452
85,0500000US02170,"Matanuska-Susitna Borough, Alaska",107081,1559,1.455907210429488,Matanuska-Susitna Borough,Alaska,6.003891512167452
86,0500000US02180,"Nome Census Area, Alaska",10046,111,1.1049173800517618,Nome Census Area,Alaska,6.003891512167452
87,0500000US02185,"North Slope Borough, Alaska",11031,641,5.810896564228084,North Slope Borough,Alaska,6.003891512167452
88,0500000US02188,"Northwest Arctic Borough, Alaska",7793,55,0.7057615809059412,Northwest Arctic Borough,Alaska,6.003891512167452
89,0500000US02195,"Petersburg Borough, Alaska",3398,123,3.6197763390229545,Petersburg Borough,Alaska,6.003891512167452
90,0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5753,27,0.46932035459760124,Prince of Wales-Hyder Census Area,Alaska,6.003891512167452
91,0500000US02220,"Sitka City and Borough, Alaska",8458,573,6.774651217781981,Sitka City and Borough,Alaska,6.003891512167452
92,0500000US02230,"Skagway Municipality, Alaska",1240,39,3.1451612903225805,Skagway Municipality,Alaska,6.003891512167452
93,0500000US02240,"Southeast Fairbanks Census Area, Alaska",6808,87,1.2779083431257343,Southeast Fairbanks Census Area,Alaska,6.003891512167452
94,0500000US02275,"Wrangell City and Borough, Alaska",2127,25,1.1753643629525155,Wrangell City and Borough,Alaska,6.003891512167452
95,0500000US02282,"Yakutat City and Borough, Alaska",662,32,4.833836858006042,Yakutat City and Borough,Alaska,6.003891512167452
96,0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5343,8,0.14972861688190156,Yukon-Koyukuk Census Area,Alaska,6.003891512167452
97,0500000US04001,"Apache County, Arizona",66021,312,0.4725769073476621,Apache County,Arizona,3.599663399380997
98,0500000US04003,"Cochise County, Arizona",125447,2712,2.161869155898507,Cochise County,Arizona,3.599663399380997
99,0500000US04005,"Coconino County, Arizona",145101,2674,1.8428542877030483,Coconino County,Arizona,3.599663399380997
100,0500000US04007,"Gila County, Arizona",53272,445,0.8353356359813786,Gila County,Arizona,3.599663399380997
101,0500000US04009,"Graham County, Arizona",38533,192,0.4982742065242779,Graham County,Arizona,3.599663399380997
102,0500000US04011,"Greenlee County, Arizona",9563,75,0.7842727177663914,Greenlee County,Arizona,3.599663399380997
103,0500000US04012,"La Paz County, Arizona",16557,115,0.6945702723923416,La Paz County,Arizona,3.599663399380997
104,0500000US04013,"Maricopa County, Arizona",4420568,203696,4.607914639023764,Maricopa County,Arizona,3.599663399380997
105,0500000US04015,"Mohave County, Arizona",213267,2734,1.281961109782573,Mohave County,Arizona,3.599663399380997
106,0500000US04017,"Navajo County, Arizona",106717,567,0.5313117872503912,Navajo County,Arizona,3.599663399380997
107,0500000US04019,"Pima County, Arizona",1043433,31367,3.0061345577531093,Pima County,Arizona,3.599663399380997
108,0500000US04021,"Pinal County, Arizona",425264,6718,1.579724594604763,Pinal County,Arizona,3.599663399380997
109,0500000US04023,"Santa Cruz County, Arizona",47669,304,0.6377310201598523,Santa Cruz County,Arizona,3.599663399380997
110,0500000US04025,"Yavapai County, Arizona",236209,2932,1.2412736178553738,Yavapai County,Arizona,3.599663399380997
111,0500000US04027,"Yuma County, Arizona",203881,2587,1.2688774334047803,Yuma County,Arizona,3.599663399380997
112,0500000US05001,"Arkansas County, Arkansas",17149,94,0.548136917604525,Arkansas County,Arkansas,1.7213543707438494
113,0500000US05003,"Ashley County, Arkansas",19062,41,0.21508760885531422,Ashley County,Arkansas,1.7213543707438494
114,0500000US05005,"Baxter County, Arkansas",41627,234,0.5621351526653374,Baxter County,Arkansas,1.7213543707438494
115,0500000US05007,"Benton County, Arkansas",284333,13721,4.8256797487453085,Benton County,Arkansas,1.7213543707438494
116,0500000US05009,"Boone County, Arkansas",37373,246,0.6582292029004897,Boone County,Arkansas,1.7213543707438494
117,0500000US05011,"Bradley County, Arkansas",10545,30,0.2844950213371266,Bradley County,Arkansas,1.7213543707438494
118,0500000US05013,"Calhoun County, Arkansas",4739,6,0.1266089892382359,Calhoun County,Arkansas,1.7213543707438494
119,0500000US05015,"Carroll County, Arkansas",28260,567,2.006369426751592,Carroll County,Arkansas,1.7213543707438494
120,0500000US05017,"Chicot County, Arkansas",10208,38,0.372257053291536,Chicot County,Arkansas,1.7213543707438494
121,0500000US05019,"Clark County, Arkansas",21446,153,0.7134197519350928,Clark County,Arkansas,1.7213543707438494
122,0500000US05021,"Clay County, Arkansas",14552,15,0.10307861462341945,Clay County,Arkansas,1.7213543707438494
123,0500000US05023,"Cleburne County, Arkansas",24711,102,0.4127716401602526,Cleburne County,Arkansas,1.7213543707438494
124,0500000US05025,"Cleveland County, Arkansas",7550,7,0.09271523178807947,Cleveland County,Arkansas,1.7213543707438494
125,0500000US05027,"Columbia County, Arkansas",22801,168,0.7368097890443401,Columbia County,Arkansas,1.7213543707438494
126,0500000US05029,"Conway County, Arkansas",20715,90,0.4344677769732078,Conway County,Arkansas,1.7213543707438494
127,0500000US05031,"Craighead County, Arkansas",111231,1692,1.5211586697952908,Craighead County,Arkansas,1.7213543707438494
128,0500000US05033,"Crawford County, Arkansas",60133,947,1.5748424326077197,Crawford County,Arkansas,1.7213543707438494
129,0500000US05035,"Crittenden County, Arkansas",48163,327,0.6789444179141665,Crittenden County,Arkansas,1.7213543707438494
130,0500000US05037,"Cross County, Arkansas",16833,102,0.6059525931206559,Cross County,Arkansas,1.7213543707438494
131,0500000US05039,"Dallas County, Arkansas",6482,7,0.10799136069114472,Dallas County,Arkansas,1.7213543707438494
132,0500000US05041,"Desha County, Arkansas",11395,61,0.5353225098727512,Desha County,Arkansas,1.7213543707438494
133,0500000US05043,"Drew County, Arkansas",17350,108,0.622478386167147,Drew County,Arkansas,1.7213543707438494
134,0500000US05045,"Faulkner County, Arkansas",123498,1475,1.1943513255275389,Faulkner County,Arkansas,1.7213543707438494
135,0500000US05047,"Franklin County, Arkansas",17097,163,0.9533836345557701,Franklin County,Arkansas,1.7213543707438494
136,0500000US05049,"Fulton County, Arkansas",12075,35,0.2898550724637681,Fulton County,Arkansas,1.7213543707438494
137,0500000US05051,"Garland County, Arkansas",100180,972,0.9702535436214812,Garland County,Arkansas,1.7213543707438494
138,0500000US05053,"Grant County, Arkansas",17958,77,0.42877826038534356,Grant County,Arkansas,1.7213543707438494
139,0500000US05055,"Greene County, Arkansas",45736,181,0.3957495189784852,Greene County,Arkansas,1.7213543707438494
140,0500000US05057,"Hempstead County, Arkansas",20065,96,0.47844505357587835,Hempstead County,Arkansas,1.7213543707438494
141,0500000US05059,"Hot Spring County, Arkansas",33040,114,0.3450363196125908,Hot Spring County,Arkansas,1.7213543707438494
142,0500000US05061,"Howard County, Arkansas",12785,63,0.49276495893625344,Howard County,Arkansas,1.7213543707438494
143,0500000US05063,"Independence County, Arkansas",37938,345,0.9093784595919658,Independence County,Arkansas,1.7213543707438494
144,0500000US05065,"Izard County, Arkansas",13577,27,0.19886572880606906,Izard County,Arkansas,1.7213543707438494
145,0500000US05067,"Jackson County, Arkansas",16755,63,0.37600716204118173,Jackson County,Arkansas,1.7213543707438494
146,0500000US05069,"Jefferson County, Arkansas",67260,673,1.0005947071067498,Jefferson County,Arkansas,1.7213543707438494
147,0500000US05071,"Johnson County, Arkansas",25749,926,3.5962561652879725,Johnson County,Arkansas,1.7213543707438494
148,0500000US05073,"Lafayette County, Arkansas",6308,32,0.507292327203551,Lafayette County,Arkansas,1.7213543707438494
149,0500000US05075,"Lawrence County, Arkansas",16216,39,0.2405032067094228,Lawrence County,Arkansas,1.7213543707438494
